,species_guess,location
0,épervier de Cooper,Laval
1,épervier de Cooper,Laval
2,quiscale bronzé,Laval
3,Merle d'Amérique,Laval
4,quiscale bronzé,Laval
5,tourterelle triste,Laval
6,Merle d'Amérique,Laval
7,Carouge à épaulettes,Laval
8,grive solitaire,Laval
9,Canard colvert,Laval
10,Canard colvert,Laval
11,cardinal rouge,Laval
12,chardonneret jaune,Laval
13,pic mineur,Laval
14,Carouge à épaulettes,Laval
15,tourterelle triste,Laval
16,Painted Turtle,Laval
17,Canard colvert,Laval
18,Goéland marin,Laval
19,Harle bièvre,Laval
20,Harle couronné,Laval
21,Garrot à oeil d'or,Laval
22,Harle bièvre,Laval
23,Canard colvert,Laval
24,Harle bièvre,Laval
25,Bernache du Canada,Laval
26,tourterelle triste,Laval
27,Étourneau sansonnet,Laval
28,mésange à tête noire,Laval
29,Bernache du Canada,Laval
30,chardonneret jaune,Laval
31,Carouge à épaulettes,Laval
32,quiscale bronzé,Laval
33,quiscale bronzé,Laval
34,Étourneau sansonnet,Laval
35,quiscale bronzé,Laval
36,Merle d'Amérique,Laval
37,mésange à tête noire,Laval
38,Étourneau sansonnet,Laval
39,Merle d'Amérique,Laval
40,Wild Turkey,Laval
41,guelder-rose,Laval
42,Dindon sauvage,Laval
43,Canard colvert,Laval
44,Harle couronné,Laval
45,Bernache du Canada,Laval
46,Grand harle,Laval
47,Bernache du Canada,Laval
48,Garrot à oeil d'or,Laval
49,Goéland à bec cerclé,Laval
50,pic chevelu,Laval
51,Merle d'Amérique,Laval
52,Sittelle à poitrine blanche,Laval
53,Étourneau sansonnet,Laval
54,pic mineur,Laval
55,Goéland à bec cerclé,Laval
56,Pigeon biset domestique,Laval
57,Harle bièvre,Laval
58,Bernache du Canada,Laval
59,Canard colvert,Laval
60,Goéland marin,Laval
61,Garrot à oeil d'or,Laval
62,Merle d'Amérique,Laval
63,Étourneau sansonnet,Laval
64,Bernache du Canada,Laval
65,canard d'Amérique,Laval
66,grand-duc d'Amérique,Laval
67,Canard pilet,Laval
68,Garrot à oeil d'or,Laval
69,Dendrocygne à ventre noir,Laval
70,Liseron des haies,Laval
71,physocarpe à feuille d'obier,Laval
72,vergerette maigre,Laval
73,thuya occidental,Laval
74,Chicorée amère,Laval
75,viorne obier,Laval
76,Ronce odorante,Laval
77,galéopside bifide,Laval
78,criquet de la Caroline,Laval
79,Tanaisie commune,Laval
80,Aubépine ergot-de-coq,Laval
81,vigne des rivages,Laval
82,canard branchu,Laval
83,Grenouille léopard du Nord,Laval
84,Grenouille verte américaine,Laval
85,Morène des grenouilles,Laval
86,Quenouille à feuilles larges,Laval
87,Grenouille léopard du Nord,Laval
88,Grenouille verte américaine,Laval
89,Téléphore fauve,Laval
