,species_guess,location
0,épervier de cooper,Laval
1,épervier de cooper,Laval
2,quiscale bronzé,Laval
3,merle d'amérique,Laval
4,quiscale bronzé,Laval
5,tourterelle triste,Laval
6,merle d'amérique,Laval
7,carouge à épaulettes,Laval
8,grive solitaire,Laval
9,canard colvert,Laval
10,canard colvert,Laval
11,cardinal rouge,Laval
12,chardonneret jaune,Laval
13,pic mineur,Laval
14,carouge à épaulettes,Laval
15,tourterelle triste,Laval
16,painted turtle,Laval
17,canard colvert,Laval
18,goéland marin,Laval
19,harle bièvre,Laval
20,harle couronné,Laval
21,garrot à oeil d'or,Laval
22,harle bièvre,Laval
23,canard colvert,Laval
24,harle bièvre,Laval
25,bernache du canada,Laval
26,tourterelle triste,Laval
27,étourneau sansonnet,Laval
28,mésange à tête noire,Laval
29,bernache du canada,Laval
30,chardonneret jaune,Laval
31,carouge à épaulettes,Laval
32,quiscale bronzé,Laval
33,quiscale bronzé,Laval
34,étourneau sansonnet,Laval
35,quiscale bronzé,Laval
36,merle d'amérique,Laval
37,mésange à tête noire,Laval
38,étourneau sansonnet,Laval
39,merle d'amérique,Laval
40,wild turkey,Laval
41,guelder-rose,Laval
42,dindon sauvage,Laval
43,canard colvert,Laval
44,harle couronné,Laval
45,bernache du canada,Laval
46,grand harle,Laval
47,bernache du canada,Laval
48,garrot à oeil d'or,Laval
49,goéland à bec cerclé,Laval
50,pic chevelu,Laval
51,merle d'amérique,Laval
52,sittelle à poitrine blanche,Laval
53,étourneau sansonnet,Laval
54,pic mineur,Laval
55,goéland à bec cerclé,Laval
56,pigeon biset domestique,Laval
57,harle bièvre,Laval
58,bernache du canada,Laval
59,canard colvert,Laval
60,goéland marin,Laval
61,garrot à oeil d'or,Laval
62,merle d'amérique,Laval
63,étourneau sansonnet,Laval
64,bernache du canada,Laval
65,canard d'amérique,Laval
66,grand-duc d'amérique,Laval
67,canard pilet,Laval
68,garrot à oeil d'or,Laval
69,dendrocygne à ventre noir,Laval
70,liseron des haies,Laval
71,physocarpe à feuille d'obier,Laval
72,vergerette maigre,Laval
73,thuya occidental,Laval
74,chicorée amère,Laval
75,viorne obier,Laval
76,ronce odorante,Laval
77,galéopside bifide,Laval
78,criquet de la caroline,Laval
79,tanaisie commune,Laval
80,aubépine ergot-de-coq,Laval
81,vigne des rivages,Laval
82,canard branchu,Laval
83,grenouille léopard du nord,Laval
84,grenouille verte américaine,Laval
85,morène des grenouilles,Laval
86,quenouille à feuilles larges,Laval
87,grenouille léopard du nord,Laval
88,grenouille verte américaine,Laval
89,téléphore fauve,Laval
90,butome à ombelle,Laval
91,cirse des champs,Laval
92,érable argenté,Laval
93,érable argenté,Laval
94,frêne rouge,Laval
95,orme d'amérique,Laval
96,érable à giguère,Laval
97,peuplier noir d'amérique,Laval
98,érable de norvège,Laval
99,érable argenté,Laval
100,érable à giguère,Laval
101,orme d'amérique,Laval
102,frêne rouge,Laval
103,tilleul à petites feuilles,Laval
104,orme d'amérique,Laval
105,orme d'amérique,Laval
106,canard noir,Laval
107,goéland à bec cerclé,Laval
108,bernache du canada,Laval
109,corneille d'amérique,Laval
110,mésange à tête noire,Laval
111,roselin familier,Laval
112,étourneau sansonnet,Laval
113,merle d'amérique,Laval
114,roselin familier,Laval
115,carouge à épaulettes,Laval
116,moineau domestique,Laval
117,canard colvert,Laval
118,goéland à bec cerclé,Laval
119,bernache du canada,Laval
120,grand corbeau,Laval
121,canard branchu,Laval
122,pigeon biset domestique,Laval
123,canard noir,Laval
124,canard noir,Laval
125,nerprun purgatif,Laval
126,orme d'amérique,Laval
127,bernache du canada,Laval
128,érable argenté,Laval
129,peuplier faux-tremble,Laval
130,roseau commun d'eurasie,Laval
131,peuplier noir d'amérique,Laval
132,canard noir,Laval
133,goéland à bec cerclé,Laval
134,goéland à bec cerclé,Laval
135,canard colvert,Laval
136,canard colvert,Laval
137,peuplier noir d'amérique,Laval
138,carouge à épaulettes,Laval
139,grand pic,Laval
140,carouge à épaulettes,Laval
141,sittelle à poitrine blanche,Laval
142,pic chevelu,Laval
143,mésange à tête noire,Laval
144,moineau domestique,Laval
145,canard colvert,Laval
146,érable à giguère,Laval
147,pic mineur,Laval
148,cardinal rouge,Laval
149,frêne rouge,Laval
150,nerprun purgatif,Laval
151,aubépines,Laval
152,érable à giguère,Laval
153,frêne rouge,Laval
154,chevreuil,Laval
155,érable à giguère,Laval
156,grand corbeau,Laval
157,moineau domestique,Laval
158,corneille d'amérique,Laval
159,moineau domestique,Laval
160,geai bleu,Laval
161,cerf de virginie,Laval
162,american beech,Laval
163,canard colvert,Laval
164,garrot à oeil d'or,Laval
165,garrot à oeil d'or,Laval
166,canard colvert,Laval
167,harle bièvre,Laval
168,bernache du canada,Laval
169,harle bièvre,Laval
170,harle bièvre,Laval
171,harle bièvre,Laval
172,harle bièvre,Laval
173,jaseur boréal,Laval
174,pie-grièche boréale,Laval
